nohup: ignoring input
GPU: True
Data set: LandUse-21
MissRate: [0.1, 0.3, 0.5, 0.7]
shuffle
Epoch 23 Loss:0.422438
Epoch 24 Loss:0.425443
Epoch 25 Loss:0.419832
Epoch 26 Loss:0.417300
Epoch 27 Loss:0.416685
Epoch 28 Loss:0.412239
Epoch 29 Loss:0.418748
Epoch 30 Loss:0.412651
Epoch 31 Loss:0.409627
Epoch 32 Loss:0.406617
Epoch 33 Loss:0.406606
Epoch 34 Loss:0.408034
Epoch 35 Loss:0.410101
Epoch 36 Loss:0.410357
Epoch 37 Loss:0.408301
Epoch 38 Loss:0.404724
Epoch 39 Loss:0.403518
Epoch 40 Loss:0.405997
Epoch 41 Loss:0.400563
Epoch 42 Loss:0.401628
Epoch 43 Loss:0.402582
Epoch 44 Loss:0.400084
Epoch 45 Loss:0.401956
Epoch 46 Loss:0.401548
Epoch 47 Loss:0.395753
Epoch 48 Loss:0.398045
Epoch 49 Loss:0.394934
Epoch 50 Loss:0.398531
Epoch 51 Loss:0.395751
Epoch 52 Loss:0.395133
Epoch 53 Loss:0.396403
Epoch 54 Loss:0.391470
Epoch 55 Loss:0.394719
Epoch 56 Loss:0.394692
Epoch 57 Loss:0.391058
Epoch 58 Loss:0.392630
Epoch 59 Loss:0.390957
Epoch 60 Loss:0.392496
Epoch 61 Loss:0.388085
Epoch 62 Loss:0.387068
Epoch 63 Loss:0.385744
Epoch 64 Loss:0.383616
Epoch 65 Loss:0.388075
Epoch 66 Loss:0.386834
Epoch 67 Loss:0.386726
Epoch 68 Loss:0.383111
Epoch 69 Loss:0.382796
Epoch 70 Loss:0.385157
Epoch 71 Loss:0.382880
Epoch 72 Loss:0.382408
Epoch 73 Loss:0.379925
Epoch 74 Loss:0.378242
Epoch 75 Loss:0.381950
Epoch 76 Loss:0.381977
Epoch 77 Loss:0.378364
Epoch 78 Loss:0.378344
Epoch 79 Loss:0.376506
Epoch 80 Loss:0.376730
Epoch 81 Loss:0.377760
Epoch 82 Loss:0.373275
Epoch 83 Loss:0.375810
Epoch 84 Loss:0.378241
Epoch 85 Loss:0.372781
Epoch 86 Loss:0.375364
Epoch 87 Loss:0.373317
Epoch 88 Loss:0.374177
Epoch 89 Loss:0.367970
Epoch 90 Loss:0.370094
Epoch 91 Loss:0.372162
Epoch 92 Loss:0.370697
Epoch 93 Loss:0.369135
Epoch 94 Loss:0.369336
Epoch 95 Loss:0.366703
Epoch 96 Loss:0.366429
Epoch 97 Loss:0.369732
Epoch 98 Loss:0.367502
Epoch 99 Loss:0.367652
Epoch 100 Loss:0.365959
Epoch 101 Loss:0.366026
Epoch 102 Loss:0.365950
Epoch 103 Loss:0.360887
Epoch 104 Loss:0.363007
Epoch 105 Loss:0.363394
Epoch 106 Loss:0.361649
Epoch 107 Loss:0.359925
Epoch 108 Loss:0.361368
Epoch 109 Loss:0.359773
Epoch 110 Loss:0.359443
Epoch 111 Loss:0.360556
Epoch 112 Loss:0.357890
Epoch 113 Loss:0.357250
Epoch 114 Loss:0.356057
Epoch 115 Loss:0.352693
Epoch 116 Loss:0.355150
Epoch 117 Loss:0.354062
Epoch 118 Loss:0.353937
Epoch 119 Loss:0.352548
Epoch 120 Loss:0.354550
---------------------------Result of LandUse-21----------------------------
------------------------- MissRate = 0.50--------------------
K-meansClustering: ACC = 0.2805 NMI = 0.3259 ARI = 0.1231
Clustering: ACC = 0.2329 NMI = 0.2572 ARI = 0.1048 PUR = 0.2462
------------------------Training over------------------------
--------------------Missing rate = 0.7--------------------
Epoch 1 Loss:0.005124
